name,csvLink
Newspapers from 1827,https://loar.kb.dk/rest/bitstreams/3895cc0c-7b34-4e86-8a1c-16a18dcfeeca/retrieve
Newspapers from 1826,https://loar.kb.dk/rest/bitstreams/7f23514c-d9eb-45cc-a9f3-f292414dacb9/retrieve
Newspapers from 1825,https://loar.kb.dk/rest/bitstreams/52939c3a-cbd0-438b-ad8c-4addc2cf3c62/retrieve
Newspapers from 1824,https://loar.kb.dk/rest/bitstreams/3e08c540-16d8-4e1a-9749-93d4a69194f5/retrieve
Newspapers from 1823,https://loar.kb.dk/rest/bitstreams/d550bed5-086f-4017-b7a7-2c5cd277b1ef/retrieve
Newspapers from 1822,https://loar.kb.dk/rest/bitstreams/270b37ce-acfa-479c-9c94-ddb612762cbf/retrieve
Newspapers from 1821,https://loar.kb.dk/rest/bitstreams/87db68ef-cbb5-4532-8459-555686ce369f/retrieve
Newspapers from 1820,https://loar.kb.dk/rest/bitstreams/eb31cf2c-f70c-4270-8925-616d6933cc0d/retrieve
Newspapers from 1819,https://loar.kb.dk/rest/bitstreams/6e7568a8-7844-4b9d-b754-87ea072a9dba/retrieve
Newspapers from 1818,https://loar.kb.dk/rest/bitstreams/1b2cd33e-0c46-4729-8a15-a70be7d41e52/retrieve
Newspapers from 1817,https://loar.kb.dk/rest/bitstreams/cf5610ff-e77c-436f-ac5b-be11d33a532f/retrieve
Newspapers from 1816,https://loar.kb.dk/rest/bitstreams/f18c1647-8923-49df-b02b-26c61995c8e3/retrieve
Newspapers from 1815,https://loar.kb.dk/rest/bitstreams/055f0cbc-f2e4-476a-817d-6a31f5ea3c63/retrieve
Newspapers from 1814,https://loar.kb.dk/rest/bitstreams/6971dd2a-d18f-4afd-adeb-13b3c0efc71a/retrieve
Newspapers from 1813,https://loar.kb.dk/rest/bitstreams/8ad27718-6758-47d9-9300-17e7d3ab686e/retrieve
Newspapers from 1812,https://loar.kb.dk/rest/bitstreams/13803dae-8c1e-4d99-97a3-49b2035db824/retrieve
Newspapers from 1811,https://loar.kb.dk/rest/bitstreams/2fc9c233-228d-48c0-882c-7d77952fc1c4/retrieve
Newspapers from 1810,https://loar.kb.dk/rest/bitstreams/66681b3c-8d8b-4104-862f-cabd8763b54a/retrieve
